Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
DeepTPpred: A Deep Learning Approach With Matrix Factorization for Predicting Therapeutic Peptides by Integrating Length Information,Z. Cui; S. -G. Wang; Y. He; Z. -H. Chen; Q. -H. Zhang,"Institute of Machine Learning and Systems Biology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; Institute of Machine Learning and Systems Biology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; Institute of Machine Learning and Systems Biology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; EIT Institute for Advanced Study, Ningbo, Zhejiang, China",IEEE Journal of Biomedical and Health Informatics,6 Sep 2023,2023,27,9.0,4611,4622,"The abuse of traditional antibiotics has led to increased resistance of bacteria and viruses. Efficient therapeutic peptide prediction is critical for peptide drug discovery. However, most of the existing methods only make effective predictions for one class of therapeutic peptides. It is worth noting that currently no predictive method considers sequence length information as a distinct feature of therapeutic peptides. In this article, a novel deep learning approach with matrix factorization for predicting therapeutic peptides (DeepTPpred) by integrating length information are proposed. The matrix factorization layer can learn the potential features of the encoded sequence through the mechanism of first compression and then restoration. And the length features of the sequence of therapeutic peptides are embedded with encoded amino acid sequences. To automatically learn therapeutic peptide predictions, these latent features are input into the neural networks with self-attention mechanism. On eight therapeutic peptide datasets, DeepTPpred achieved excellent prediction results. Based on these datasets, we first integrated eight datasets to obtain a full therapeutic peptide integration dataset. Then, we obtained two functional integration datasets based on the functional similarity of the peptides. Finally, we also conduct experiments on the latest versions of the ACP and CPP datasets. Overall, the experimental results show that our work is effective for the identification of therapeutic peptides.",2168-2208,,10.1109/JBHI.2023.3290014,"National Natural Science Foundation of China(grant numbers:61861146002,61732012,61772370,62002266,61932008,61772357,62073231); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10164211,Deep learning matrix factorization;length feature;therapeutic peptides,Peptides;Matrix decomposition;Feature extraction;Predictive models;Deep learning;Machine learning;Training,"Humans;Deep Learning;Peptides;Neural Networks, Computer;Drug Discovery",1.0,,60.0,IEEE,27 Jun 2023,,,IEEE,IEEE Journals
TransAMR: An Interpretable Transformer Model for Accurate Prediction of Antimicrobial Resistance Using Antibiotic Administration Data,M. Tharmakulasingam; W. Wang; M. Kerby; R. L. Ragione; A. Fernando,"Centre for Vision, Speech and Signal Processing, University of Surrey, Guildford, U.K.; Centre for Vision, Speech and Signal Processing, University of Surrey, Guildford, U.K.; Synergy Farm Health Ltd., Maiden Newton, Dorset, U.K.; School of Veterinary Medicine, University of Surrey, Guildford, U.K.; Department of Computer and Information Sciences, University of Strathclyde, Glasgow, U.K.",IEEE Access,26 Jul 2023,2023,11,,75337,75350,"Antimicrobial Resistance (AMR) is a growing public and veterinary health concern, and the ability to accurately predict AMR from antibiotics administration data is crucial for effectively treating and managing infections. While genomics-based approaches can provide better results, sequencing, assembling, and applying Machine Learning (ML) methods can take several hours. Therefore, alternative approaches are required. This study focused on using ML for antimicrobial stewardship by utilising data extracted from hospital electronic health records, which can be done in real-time, and developing an interpretable 1D-Transformer model for predicting AMR. A multi-baseline Integrated Gradient pipeline was also incorporated to interpret the model, and quantitative validation metrics were introduced to validate the model. The performance of the proposed 1D-Transformer model was evaluated using a dataset of urinary tract infection (UTI) patients with four antibiotics. The proposed 1D-Transformer model achieved 10% higher area under curve (AUC) in predicting AMR and outperformed traditional ML models. The Explainable Artificial Intelligence (XAI) pipeline also provided interpretable results, identifying the signatures contributing to the predictions. This could be used as a decision support tool for personalised treatment, introducing AMR-aware food and management of AMR, and it could also be used to identify signatures for targeted interventions.",2169-3536,,10.1109/ACCESS.2023.3296221,University of Surrey; Zoetis through the vHive Initiative; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185002,Transformer;multi-drug AMR;antimicrobial stewardship;missing labels;XAI;multi-label prediction,Antibiotics;Predictive models;Data models;Immune system;Prediction algorithms;Computational modeling;Transformers,,,,35.0,CCBY,17 Jul 2023,,,IEEE,IEEE Journals
Deep Domain Adaptation Enhances Amplification Curve Analysis for Single-Channel Multiplexing in Real-Time PCR,Y. Mao; K. Xu; L. Miglietta; L. Kreitmann; N. Moser; P. Georgiou; A. Holmes; J. Rodriguez-Manzano,"Department of Electrical and Electronic Engineering, Faculty of Engineering, Imperial College London, London, U.K.; Department of Infectious Disease, Faculty of Medicine, Imperial College, London, U.K.; Department of Infectious Disease, Faculty of Medicine, Imperial College, London, U.K.; Department of Infectious Disease, Faculty of Medicine, Imperial College, London, U.K.; Department of Electrical and Electronic Engineering, Faculty of Engineering, Imperial College London, London, U.K.; Department of Electrical and Electronic Engineering, Faculty of Engineering, Imperial College London, London, U.K.; Department of Infectious Disease, Faculty of Medicine, Imperial College, London, U.K.; Department of Infectious Disease, Faculty of Medicine, Imperial College, London, U.K.",IEEE Journal of Biomedical and Health Informatics,5 Jun 2023,2023,27,6.0,3093,3103,"Data-driven approaches for molecular diagnostics are emerging as an alternative to perform an accurate and inexpensive multi-pathogen detection. A novel technique called Amplification Curve Analysis (ACA) has been recently developed by coupling machine learning and real-time Polymerase Chain Reaction (qPCR) to enable the simultaneous detection of multiple targets in a single reaction well. However, target classification purely relying on the amplification curve shapes faces several challenges, such as distribution discrepancies between different data sources (i.e., training vs testing). Optimisation of computational models is required to achieve higher performance of ACA classification in multiplex qPCR through the reduction of those discrepancies. Here, we proposed a novel transformer-based conditional domain adversarial network (T-CDAN) to eliminate data distribution differences between the source domain (synthetic DNA data) and the target domain (clinical isolate data). The labelled training data from the source domain and unlabelled testing data from the target domain are fed into the T-CDAN, which learns both domains' information simultaneously. After mapping the inputs into a domain-irrelevant space, T-CDAN removes the feature distribution differences and provides a clearer decision boundary for the classifier, resulting in a more accurate pathogen identification. Evaluation of 198 clinical isolates containing three types of carbapenem-resistant genes (blaNDM, blaIMP and blaOXA-48) illustrates a curve-level accuracy of 93.1% and a sample-level accuracy of 97.0% using T-CDAN, showing an accuracy improvement of 20.9% and 4.9% respectively. This research emphasises the importance of deep domain adaptation to enable high-level multiplexing in a single qPCR reaction, providing a solid approach to extend qPCR instruments' capabilities in real-world clinical applications.",2168-2208,,10.1109/JBHI.2023.3257727,"Imperial COVID-19 Research Fund(grant numbers:WDAI.G28059); Department of Health and Social Care funded Centre for Antimicrobial Optimisation (CAMO) at Imperial College London; Imperial College President's PhD Scholarships 2021; Scholarship from bioMerieux, S.A.; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10070782,Domain adaptation;transformer;ACA;amplificaion curve analysis;PCR;multiplex,DNA;Feature extraction;Training;Multiplexing;Testing;Pathogens;Data models,Humans;Real-Time Polymerase Chain Reaction;Carbapenems,1.0,,38.0,CCBY,15 Mar 2023,,,IEEE,IEEE Journals
Artificial Intelligence-Based Model for Predicting the Minimum Inhibitory Concentration of Antibacterial Peptides Against ESKAPEE Pathogens,R. Sharma; S. Shrivastava; S. K. Singh; A. Kumar; A. K. Singh; S. Saxena,"Department of Computer Science and Engineering, Indian Institute of Technology, BHU, Varanasi, India; Division of Veterinary Biotechnology, ICAR-Indian Veterinary Research Institute, Izatnagar, India; Department of Computer Science and Engineering, Indian Institute of Technology, BHU, Varanasi, India; Department of Computer Science and Engineering, Indian Institute of Technology, BHU, Varanasi, India; Department of Computer Science and Engineering, National Institute of Technology, Patna, India; Division of Veterinary Biotechnology, ICAR-Indian Veterinary Research Institute, Izatnagar, India",IEEE Journal of Biomedical and Health Informatics,4 Apr 2024,2024,28,4.0,1949,1958,"In response to environmental threats, pathogens make several changes in their genome, leading to antimicrobial resistance (AMR). Due to AMR, the pathogens do not respond to antibiotics. Amongst drug-resistant pathogens, the ESKAPEE group of bacteria poses a major threat to humans, and therefore World Health Organization has given them the highest priority status. Antibacterial peptides (ABPs) are a family of peptides found in nature that play a crucial role in the innate immune systems of organisms. These ABPs offer several advantages over widely used antibiotics. As a result, they have recently received a lot of attention as potential replacements for currently available antibiotics. But it is expensive and time-consuming to identify ABPs from natural sources. Thus, wet lab researchers employ various tools to screen promising ABPs rapidly. However, the main limitation of the existing tools is that they do not provide the minimum inhibitory concentration values against the ESKAPEE pathogens for the identified ABP. To address this, in the current work, we developed ESKAPEE-MICpred, a two-input model that utilizes transfer learning and ensemble learning techniques. The concept of ensemble learning was realized by combining the decisions provided by deep learning algorithms, whereas the concept of transfer learning was realized by utilizing pretrained amino acid embeddings. The proposed model has been deployed as a web server at https://eskapee-micpred.anvil.app/ to aid the scientific community.",2168-2208,,10.1109/JBHI.2023.3271611,National Agricultural Science Fund; Developing Novel Therapeutic Strategies for Mitigating Antimicrobial Resistance sanctioned(grant numbers:NASF/BGAM-9006-2022-23); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10110982,Antibacterial peptides;antimicrobial resistance;minimum inhibitory concentration;genome;world health organization;ESKAPEE,Pathogens;Peptides;Shape;Microwave integrated circuits;Bioinformatics;Neurons;Microorganisms,,1.0,,33.0,IEEE,28 Apr 2023,,,IEEE,IEEE Journals
DeepTPpred: A Deep Learning Approach With Matrix Factorization for Predicting Therapeutic Peptides by Integrating Length Information,Z. Cui; S. -G. Wang; Y. He; Z. -H. Chen; Q. -H. Zhang,"Institute of Machine Learning and Systems Biology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; Institute of Machine Learning and Systems Biology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; Institute of Machine Learning and Systems Biology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; EIT Institute for Advanced Study, Ningbo, Zhejiang, China",IEEE Journal of Biomedical and Health Informatics,6 Sep 2023,2023,27,9.0,4611,4622,"The abuse of traditional antibiotics has led to increased resistance of bacteria and viruses. Efficient therapeutic peptide prediction is critical for peptide drug discovery. However, most of the existing methods only make effective predictions for one class of therapeutic peptides. It is worth noting that currently no predictive method considers sequence length information as a distinct feature of therapeutic peptides. In this article, a novel deep learning approach with matrix factorization for predicting therapeutic peptides (DeepTPpred) by integrating length information are proposed. The matrix factorization layer can learn the potential features of the encoded sequence through the mechanism of first compression and then restoration. And the length features of the sequence of therapeutic peptides are embedded with encoded amino acid sequences. To automatically learn therapeutic peptide predictions, these latent features are input into the neural networks with self-attention mechanism. On eight therapeutic peptide datasets, DeepTPpred achieved excellent prediction results. Based on these datasets, we first integrated eight datasets to obtain a full therapeutic peptide integration dataset. Then, we obtained two functional integration datasets based on the functional similarity of the peptides. Finally, we also conduct experiments on the latest versions of the ACP and CPP datasets. Overall, the experimental results show that our work is effective for the identification of therapeutic peptides.",2168-2208,,10.1109/JBHI.2023.3290014,"National Natural Science Foundation of China(grant numbers:61861146002,61732012,61772370,62002266,61932008,61772357,62073231); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10164211,Deep learning matrix factorization;length feature;therapeutic peptides,Peptides;Matrix decomposition;Feature extraction;Predictive models;Deep learning;Machine learning;Training,"Humans;Deep Learning;Peptides;Neural Networks, Computer;Drug Discovery",1.0,,60.0,IEEE,27 Jun 2023,,,IEEE,IEEE Journals
TransAMR: An Interpretable Transformer Model for Accurate Prediction of Antimicrobial Resistance Using Antibiotic Administration Data,M. Tharmakulasingam; W. Wang; M. Kerby; R. L. Ragione; A. Fernando,"Centre for Vision, Speech and Signal Processing, University of Surrey, Guildford, U.K.; Centre for Vision, Speech and Signal Processing, University of Surrey, Guildford, U.K.; Synergy Farm Health Ltd., Maiden Newton, Dorset, U.K.; School of Veterinary Medicine, University of Surrey, Guildford, U.K.; Department of Computer and Information Sciences, University of Strathclyde, Glasgow, U.K.",IEEE Access,26 Jul 2023,2023,11,,75337,75350,"Antimicrobial Resistance (AMR) is a growing public and veterinary health concern, and the ability to accurately predict AMR from antibiotics administration data is crucial for effectively treating and managing infections. While genomics-based approaches can provide better results, sequencing, assembling, and applying Machine Learning (ML) methods can take several hours. Therefore, alternative approaches are required. This study focused on using ML for antimicrobial stewardship by utilising data extracted from hospital electronic health records, which can be done in real-time, and developing an interpretable 1D-Transformer model for predicting AMR. A multi-baseline Integrated Gradient pipeline was also incorporated to interpret the model, and quantitative validation metrics were introduced to validate the model. The performance of the proposed 1D-Transformer model was evaluated using a dataset of urinary tract infection (UTI) patients with four antibiotics. The proposed 1D-Transformer model achieved 10% higher area under curve (AUC) in predicting AMR and outperformed traditional ML models. The Explainable Artificial Intelligence (XAI) pipeline also provided interpretable results, identifying the signatures contributing to the predictions. This could be used as a decision support tool for personalised treatment, introducing AMR-aware food and management of AMR, and it could also be used to identify signatures for targeted interventions.",2169-3536,,10.1109/ACCESS.2023.3296221,University of Surrey; Zoetis through the vHive Initiative; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10185002,Transformer;multi-drug AMR;antimicrobial stewardship;missing labels;XAI;multi-label prediction,Antibiotics;Predictive models;Data models;Immune system;Prediction algorithms;Computational modeling;Transformers,,,,35.0,CCBY,17 Jul 2023,,,IEEE,IEEE Journals
Artificial Intelligence-Based Model for Predicting the Minimum Inhibitory Concentration of Antibacterial Peptides Against ESKAPEE Pathogens,R. Sharma; S. Shrivastava; S. K. Singh; A. Kumar; A. K. Singh; S. Saxena,"Department of Computer Science and Engineering, Indian Institute of Technology, BHU, Varanasi, India; Division of Veterinary Biotechnology, ICAR-Indian Veterinary Research Institute, Izatnagar, India; Department of Computer Science and Engineering, Indian Institute of Technology, BHU, Varanasi, India; Department of Computer Science and Engineering, Indian Institute of Technology, BHU, Varanasi, India; Department of Computer Science and Engineering, National Institute of Technology, Patna, India; Division of Veterinary Biotechnology, ICAR-Indian Veterinary Research Institute, Izatnagar, India",IEEE Journal of Biomedical and Health Informatics,4 Apr 2024,2024,28,4.0,1949,1958,"In response to environmental threats, pathogens make several changes in their genome, leading to antimicrobial resistance (AMR). Due to AMR, the pathogens do not respond to antibiotics. Amongst drug-resistant pathogens, the ESKAPEE group of bacteria poses a major threat to humans, and therefore World Health Organization has given them the highest priority status. Antibacterial peptides (ABPs) are a family of peptides found in nature that play a crucial role in the innate immune systems of organisms. These ABPs offer several advantages over widely used antibiotics. As a result, they have recently received a lot of attention as potential replacements for currently available antibiotics. But it is expensive and time-consuming to identify ABPs from natural sources. Thus, wet lab researchers employ various tools to screen promising ABPs rapidly. However, the main limitation of the existing tools is that they do not provide the minimum inhibitory concentration values against the ESKAPEE pathogens for the identified ABP. To address this, in the current work, we developed ESKAPEE-MICpred, a two-input model that utilizes transfer learning and ensemble learning techniques. The concept of ensemble learning was realized by combining the decisions provided by deep learning algorithms, whereas the concept of transfer learning was realized by utilizing pretrained amino acid embeddings. The proposed model has been deployed as a web server at https://eskapee-micpred.anvil.app/ to aid the scientific community.",2168-2208,,10.1109/JBHI.2023.3271611,National Agricultural Science Fund; Developing Novel Therapeutic Strategies for Mitigating Antimicrobial Resistance sanctioned(grant numbers:NASF/BGAM-9006-2022-23); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10110982,Antibacterial peptides;antimicrobial resistance;minimum inhibitory concentration;genome;world health organization;ESKAPEE,Pathogens;Peptides;Shape;Microwave integrated circuits;Bioinformatics;Neurons;Microorganisms,,1.0,,33.0,IEEE,28 Apr 2023,,,IEEE,IEEE Journals
DeepTPpred: A Deep Learning Approach With Matrix Factorization for Predicting Therapeutic Peptides by Integrating Length Information,Z. Cui; S. -G. Wang; Y. He; Z. -H. Chen; Q. -H. Zhang,"Institute of Machine Learning and Systems Biology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; Institute of Machine Learning and Systems Biology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; Institute of Machine Learning and Systems Biology, College of Electronics and Information Engineering, Tongji University, Shanghai, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; EIT Institute for Advanced Study, Ningbo, Zhejiang, China",IEEE Journal of Biomedical and Health Informatics,6 Sep 2023,2023,27,9.0,4611,4622,"The abuse of traditional antibiotics has led to increased resistance of bacteria and viruses. Efficient therapeutic peptide prediction is critical for peptide drug discovery. However, most of the existing methods only make effective predictions for one class of therapeutic peptides. It is worth noting that currently no predictive method considers sequence length information as a distinct feature of therapeutic peptides. In this article, a novel deep learning approach with matrix factorization for predicting therapeutic peptides (DeepTPpred) by integrating length information are proposed. The matrix factorization layer can learn the potential features of the encoded sequence through the mechanism of first compression and then restoration. And the length features of the sequence of therapeutic peptides are embedded with encoded amino acid sequences. To automatically learn therapeutic peptide predictions, these latent features are input into the neural networks with self-attention mechanism. On eight therapeutic peptide datasets, DeepTPpred achieved excellent prediction results. Based on these datasets, we first integrated eight datasets to obtain a full therapeutic peptide integration dataset. Then, we obtained two functional integration datasets based on the functional similarity of the peptides. Finally, we also conduct experiments on the latest versions of the ACP and CPP datasets. Overall, the experimental results show that our work is effective for the identification of therapeutic peptides.",2168-2208,,10.1109/JBHI.2023.3290014,"National Natural Science Foundation of China(grant numbers:61861146002,61732012,61772370,62002266,61932008,61772357,62073231); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10164211,Deep learning matrix factorization;length feature;therapeutic peptides,Peptides;Matrix decomposition;Feature extraction;Predictive models;Deep learning;Machine learning;Training,"Humans;Deep Learning;Peptides;Neural Networks, Computer;Drug Discovery",1.0,,60.0,IEEE,27 Jun 2023,,,IEEE,IEEE Journals
"Reinforcement Learning for Intelligent Healthcare Systems: A Review of Challenges, Applications, and Open Research Issues",A. A. Abdellatif; N. Mhaisen; A. Mohamed; A. Erbad; M. Guizani,"College of Engineering, Qatar University, Doha, Qatar; College of Electrical Engineering, Mathematics, and Computer Science, TU Delft, Delft, The Netherlands; College of Engineering, Qatar University, Doha, Qatar; College of Science and Engineering, Hamad Bin Khalifa University, Qatar Foundation, Doha, Qatar; Machine Learning Department, Mohamed Bin Zayed University of Artificial Intelligence, Abu Dhabi, UAE",IEEE Internet of Things Journal,11 Dec 2023,2023,10,24.0,21982,22007,"The rise of chronic disease patients and the pandemic pose immediate threats to healthcare expenditure and mortality rates. This calls for transforming healthcare systems away from one-on-one patient treatment into intelligent health systems, leveraging the recent advances of Internet of Things and smart sensors. Meanwhile, reinforcement learning (RL) has witnessed an intrinsic breakthrough in solving a variety of complex problems for distinct applications and services. Thus, this article presents a comprehensive survey of the recent models and techniques of RL that have been developed/used for supporting Intelligent-healthcare (I-health) systems. It can guide the readers to deeply understand the state-of-the-art regarding the use of RL in the context of I-health. Specifically, we first present an overview of the I-health systems’ challenges, architecture, and how RL can benefit these systems. We then review the background and mathematical modeling of different RL, deep RL (DRL), and multiagent RL models. We highlight important guidelines on how to select the appropriate RL model for a given problem, and provide quantitative comparisons, showing the results of deploying key RL models in two scenarios that can be followed in monitoring applications. After that, we conduct an in-depth literature review on RL’s applications in I-health systems, covering edge intelligence, smart core network, and dynamic treatment regimes. Finally, we highlight emerging challenges and future research directions to enhance RL’s success in I-health systems, which opens the door for exploring some interesting and unsolved problems.",2327-4662,,10.1109/JIOT.2023.3288050,NPRP from the Qatar National Research Fund (a member of Qatar Foundation)(grant numbers:NPRP13S-0205-200265); NPRP(grant numbers:NPRP12S-0305-190231); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10162185,Deep learning;distributed machine learning;edge computing (EC);Internet of Things (IoT);remote monitoring,Surveys;Medical services;Internet of Things;Remote monitoring;Optimization;Mathematical models;Computer architecture;Deep learning;Distributed computing;Machine learning,,6.0,,189.0,IEEE,26 Jun 2023,,,IEEE,IEEE Journals
An Open-Set Modulation Recognition Scheme With Deep Representation Learning,Y. Chen; X. Xu; X. Qin,"Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, University of Science and Technology of China, Hefei, Anhui, China; Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, University of Science and Technology of China, Hefei, Anhui, China; Key Laboratory of Wireless-Optical Communications, Chinese Academy of Sciences, University of Science and Technology of China, Hefei, Anhui, China",IEEE Communications Letters,9 Mar 2023,2023,27,3.0,851,855,"This letter proposes a deep representation learning based automatic modulation recognition (AMR) algorithm in the open-set recognition (OSR) regime. The challenging recognition risk of unknown modulation classes is first analyzed for most state-of-the-art approaches, and interesting insights into this problem is then provided. Based on this, an open-set AMR scheme is proposed with a combination of feature representation and classification, where a triplet loss function from metric learning is employed for the representor to form distinct clusters for  $N$  known modulation classes. Then, the degree of membership is calculated via extreme value theory (EVT) by modeling the distance between known training data to its corresponding clustering center, followed by  $N$  binary classifiers. Comprehensive experiments on public dataset confirm that the proposed scheme outperforms the other state-of-the-arts in terms of both balanced accuracy and openness.",1558-2558,,10.1109/LCOMM.2023.3241388,"National Natural Science Foundation of China (No. 62171422), and the Natural Science Foundation of Anhui Province (2008085MF213); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034661,Automatic modulation recognition;open-set recognition;extreme value theory;metric learning;deep learning,Modulation;Training;Deep learning;Training data;Measurement;Data models;Weibull distribution,,5.0,,11.0,IEEE,1 Feb 2023,,,IEEE,IEEE Journals
