,URL,Journal,DOI,Date of Publication,First Author,Title,Abstract
0,https://ieeexplore.ieee.org/document/10081356,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2023.3261319,27/3/2023,Yue Wang,An Effective Model for Predicting Phage-Host Interactions Via Graph Embedding Representation Learning With Multi-Head Attention Mechanism,"Abstract:
In the treatment of bacterial infectious diseases, overuse of antibiotics may lead to not only bacterial resistance to antibiotics but also dysbiosis of beneficial bacteria which are essential for maintaining normal human life activities. Instead, phage therapy, which invades and lyses specific pathogenic bacteria without affecting beneficial bacteria, becomes more and more popular to treat bacterial infectious diseases. For the effective phage therapy, it requires to accurately predict potential phage-host interactions from heterogeneous information network consisting of bacteria and phages. Although many models have been proposed for predicting phage-host interactions, most methods fail to consider fully the sparsity and unconnectedness of phage-host heterogeneous information network, deriving the undesirable performance on phage-host interactions prediction. To address the challenge, we propose an effective model called GERMAN-PHI for predicting Phage-Host Interactions via Graph Embedding Representation learning with Multi-head Attention mechaNism. In GERMAN-PHI, the multi-head attention mechanism is utilized to learn representations of phages and hosts from multiple perspectives of phage-host associations, addressing the sparsity and unconnectedness in phage-host heterogeneous information network. More specifically, a module of GAT with talking-heads is employed to learn representations of phages and bacteria, on which neural induction matrix completion is conducted to reconstruct the phage-host association matrix. Results of comprehensive experiments demonstrate that GERMAN-PHI performs better than the state-of-the-art methods on phage-host interactions prediction. In addition, results of case study for two high-risk human pathogens show that GERMAN-PHI can predict validated phages with high accuracy, and some potential or new associated phages are provided as well."
5,https://ieeexplore.ieee.org/document/8804188,IEEE Access,10.1109/ACCESS.2019.2935911,16/8/2019,C. Brandon Ogbunugafor,"Genetic Background Modifies the Topography of a Fitness Landscape, Influencing the Dynamics of Adaptive Evolution","Abstract:
Understanding the forces that drive the dynamics of adaptive evolution is a goal of many sub-fields and applications of evolutionary biology, including in evolutionary computation. The fitness landscape analogy has served as a useful abstraction for addressing these topics across many systems, and recent treatments have revealed how different environments can frame the particulars of adaptive evolution by changing the topography of fitness landscapes. In this study, we examine how the larger, ambient genetic context in which a protein is embedded affects fitness landscape topography and subsequent evolution. Using simulations on empirical fitness landscapes, we discover that the genetic background - genetic variability in regions outside of the locus under study (in this case, an essential bacterial enzyme target of antibiotics) - influences the speed and direction of evolution in several surprising ways. These findings have implications for how we study the evolution of drug resistance in nature, and for presumptions about how biological evolution might be expected to occur in genetically-modified organisms. More generally, the findings speak to theory surrounding how “difference can beget difference” in adaptive evolution (whether biological, computational, or technological): that small differences in environmental or genetic background can greatly alter the specifics of how evolution occurs, which can rapidly drive even slightly diverged populations further apart."
10,https://ieeexplore.ieee.org/document/10164211,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2023.3290014,27/6/2023,Zhen Cui,DeepTPpred: A Deep Learning Approach With Matrix Factorization for Predicting Therapeutic Peptides by Integrating Length Information,"Abstract:
The abuse of traditional antibiotics has led to increased resistance of bacteria and viruses. Efficient therapeutic peptide prediction is critical for peptide drug discovery. However, most of the existing methods only make effective predictions for one class of therapeutic peptides. It is worth noting that currently no predictive method considers sequence length information as a distinct feature of therapeutic peptides. In this article, a novel deep learning approach with matrix factorization for predicting therapeutic peptides (DeepTPpred) by integrating length information are proposed. The matrix factorization layer can learn the potential features of the encoded sequence through the mechanism of first compression and then restoration. And the length features of the sequence of therapeutic peptides are embedded with encoded amino acid sequences. To automatically learn therapeutic peptide predictions, these latent features are input into the neural networks with self-attention mechanism. On eight therapeutic peptide datasets, DeepTPpred achieved excellent prediction results. Based on these datasets, we first integrated eight datasets to obtain a full therapeutic peptide integration dataset. Then, we obtained two functional integration datasets based on the functional similarity of the peptides. Finally, we also conduct experiments on the latest versions of the ACP and CPP datasets. Overall, the experimental results show that our work is effective for the identification of therapeutic peptides."
15,https://ieeexplore.ieee.org/document/10185002,IEEE Access,10.1109/ACCESS.2023.3296221,17/7/2023,Mukunthan Tharmakulasingam,TransAMR: An Interpretable Transformer Model for Accurate Prediction of Antimicrobial Resistance Using Antibiotic Administration Data,"Abstract:
Antimicrobial Resistance (AMR) is a growing public and veterinary health concern, and the ability to accurately predict AMR from antibiotics administration data is crucial for effectively treating and managing infections. While genomics-based approaches can provide better results, sequencing, assembling, and applying Machine Learning (ML) methods can take several hours. Therefore, alternative approaches are required. This study focused on using ML for antimicrobial stewardship by utilising data extracted from hospital electronic health records, which can be done in real-time, and developing an interpretable 1D-Transformer model for predicting AMR. A multi-baseline Integrated Gradient pipeline was also incorporated to interpret the model, and quantitative validation metrics were introduced to validate the model. The performance of the proposed 1D-Transformer model was evaluated using a dataset of urinary tract infection (UTI) patients with four antibiotics. The proposed 1D-Transformer model achieved 10% higher area under curve (AUC) in predicting AMR and outperformed traditional ML models. The Explainable Artificial Intelligence (XAI) pipeline also provided interpretable results, identifying the signatures contributing to the predictions. This could be used as a decision support tool for personalised treatment, introducing AMR-aware food and management of AMR, and it could also be used to identify signatures for targeted interventions."
20,https://ieeexplore.ieee.org/document/9585364,IEEE/ACM Transactions on Computational Biology and Bioinformatics,10.1109/TCBB.2021.3122183,26/10/2021,Zhen Cui,RMSCNN: A Random Multi-Scale Convolutional Neural Network for Marine Microbial Bacteriocins Identification,"Abstract:
The abuse of traditional antibiotics has led to an increase in the resistance of bacteria and viruses. Similar to the function of antibacterial peptides, bacteriocins are more common as a kind of peptides produced by bacteria that have bactericidal or bacterial effects. More importantly, the marine environment is one of the most abundant resources for extracting marine microbial bacteriocins (MMBs). Identifying bacteriocins from marine microorganisms is a common goal for the development of new drugs. Effective use of MMBs will greatly alleviate the current antibiotic abuse problem. In this work, deep learning is used to identify meaningful MMBs. We propose a random multi-scale convolutional neural network method. In the scale setting, we set a random model to update the scale value randomly. The scale selection method can reduce the contingency caused by artificial setting under certain conditions, thereby making the method more extensive. The results show that the classification performance of the proposed method is better than the state-of-the-art classification methods. In addition, some potential MMBs are predicted, and some different sequence analyses are performed on these candidates. It is worth mentioning that after sequence analysis, the HNH endonucleases of different marine bacteria are considered as potential bacteriocins."
25,https://ieeexplore.ieee.org/document/9187776,IEEE Access,10.1109/ACCESS.2020.3022829,8/9/2020,Nairveen Ali,Predictive Modeling of Antibiotic Susceptibility in E. Coli Strains Using the U-Net Network and One-Class Classification,"Abstract:
The antibiotic resistance of bacterial pathogens has become one of the most serious global health issues due to misusing and overusing of antibiotics. Recently, different technologies were developed to determine bacteria susceptibility towards antibiotics; however, each of these technologies has its advantages and limitations in clinical applications. In this contribution, we aim to assess and automate the detection of bacterial susceptibilities towards three antibiotics; i.e. ciprofloxacin, cefotaxime and piperacillin using a combination of image processing and machine learning algorithms. Therein, microscopic images were collected from different E. coli strains, then the convolutional neural network U-Net was implemented to segment the areas showing bacteria. Subsequently, the encoder part of the trained U-Net was utilized as a feature extractor, and the U-Net bottleneck features were utilized to predict the antibiotic susceptibility of E. coli strains using a one-class support vector machine (OCSVM). This one-class model was always trained on images of untreated controls of each bacterial strain while the image labels of treated bacteria were predicted as control or non-control images. If an image of treated bacteria is predicted as control, we assume that these bacteria resist this antibiotic. In contrast, the sensitive bacteria show different morphology of the control bacteria; therefore, images collected from these treated bacteria are expected to be classified as non-control. Our results showed 83% area under the receiver operating characteristic (ROC) curve when OCSVM models were built using the U-Net bottleneck features of control bacteria images only. Additionally, the mean sensitivities of these one-class models are 91.67% and 86.61% for cefotaxime and piperacillin; respectively. The mean sensitivity for the prediction of ciprofloxacin is only 59.72% as the bacteria morphology was not fully detected by the proposed method.
(Show More)"
31,https://ieeexplore.ieee.org/document/8962015,IEEE Sensors Journal,10.1109/JSEN.2020.2967058,17/1/2020,Rafael Iriya,Rapid Antibiotic Susceptibility Testing Based on Bacterial Motion Patterns With Long Short- Term Memory Neural Networks,"Abstract:
Antibiotic resistance is an increasing public health threat. To combat it, a fast method to determine the antibiotic susceptibility of infecting pathogens is required. Here we present an optical imaging-based method to track the motion of single bacterial cells and generate a model to classify active and inactive cells based on the motion patterns of the individual cells. The model includes an image-processing algorithm to segment individual bacterial cells and track the motion of the cells over time, and a deep learning algorithm (Long Short-Term Memory network) to learn and determine if a bacterial cell is active or inactive. By applying the model to human urine specimens spiked with an Escherichia coli lab strain, we show that the method can accurately perform antibiotic susceptibility testing as fast as 30 minutes for five commonly used antibiotics."
37,https://ieeexplore.ieee.org/document/9928273,IEEE Access,10.1109/ACCESS.2022.3216896,25/10/2022,Mukunthan Tharmakulasingam,Explainable Deep Learning Approach for Multilabel Classification of Antimicrobial Resistance With Missing Labels,"Abstract:
Predicting Antimicrobial Resistance (AMR) from genomic sequence data has become a significant component of overcoming the AMR challenge, especially given its potential for facilitating more rapid diagnostics and personalised antibiotic treatments. With the recent advances in sequencing technologies and computing power, deep learning models for genomic sequence data have been widely adopted to predict AMR more reliably and error-free. There are many different types of AMR; therefore, any practical AMR prediction system must be able to identify multiple AMRs present in a genomic sequence. Unfortunately, most genomic sequence datasets do not have all the labels marked, thereby making a deep learning modelling approach challenging owing to its reliance on labels for reliability and accuracy. This paper addresses this issue by presenting an effective deep learning solution, Mask-Loss 1D convolution neural network (ML-ConvNet), for AMR prediction on datasets with many missing labels. The core component of ML- ConvNet utilises a masked loss function that overcomes the effect of missing labels in predicting AMR. The proposed ML-ConvNet is demonstrated to outperform state-of-the-art methods in the literature by 10.5%, according to the F1 score. The proposed model’s performance is evaluated using different degrees of the missing label and is found to outperform the conventional approach by 76% in the F1 score when 86.68% of labels are missing. Furthermore, the ML-ConvNet was established with an explainable artificial intelligence (XAI) pipeline, thereby making it ideally suited for hospital and healthcare settings, where model interpretability is an essential requirement."
48,https://ieeexplore.ieee.org/document/10110982,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2023.3271611,28/4/2023,Ritesh Sharma,Artificial Intelligence-Based Model for Predicting the Minimum Inhibitory Concentration of Antibacterial Peptides Against ESKAPEE Pathogens,"Abstract:
In response to environmental threats, pathogens make several changes in their genome, leading to antimicrobial resistance (AMR). Due to AMR, the pathogens do not respond to antibiotics. Amongst drug-resistant pathogens, the ESKAPEE group of bacteria poses a major threat to humans, and therefore World Health Organization has given them the highest priority status. Antibacterial peptides (ABPs) are a family of peptides found in nature that play a crucial role in the innate immune systems of organisms. These ABPs offer several advantages over widely used antibiotics. As a result, they have recently received a lot of attention as potential replacements for currently available antibiotics. But it is expensive and time-consuming to identify ABPs from natural sources. Thus, wet lab researchers employ various tools to screen promising ABPs rapidly. However, the main limitation of the existing tools is that they do not provide the minimum inhibitory concentration values against the ESKAPEE pathogens for the identified ABP. To address this, in the current work, we developed ESKAPEE-MICpred, a two-input model that utilizes transfer learning and ensemble learning techniques. The concept of ensemble learning was realized by combining the decisions provided by deep learning algorithms, whereas the concept of transfer learning was realized by utilizing pretrained amino acid embeddings. The proposed model has been deployed as a web server at https://eskapee-micpred.anvil.app/ to aid the scientific community."
53,https://ieeexplore.ieee.org/document/9541099,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2021.3113700,20/9/2021,Lin Deng,Scale-Adaptive Deep Model for Bacterial Raman Spectra Identification,"Abstract:
The combination of Raman spectroscopy and deep learning technology provides an automatic, rapid, and accurate scheme for the clinical diagnosis of pathogenic bacteria. However, the accuracy of existing deep learning methods is still limited because of the single and fixed scales of deep neural networks. We propose a deep neural network that can learn multi-scale features of Raman spectra by using the automatic combination of multi-receptive fields of convolutional layers. This model is based on the expert knowledge that the discrimination information of Raman spectra is composed of multi-scale spectral peaks. We enhance the interpretability of the model by visualizing the activated wavenumbers of the bacterial spectrum that can be used for reference in related work. Compared with existing state-of-the-art methods, the proposed method achieves higher accuracy and efficiency for bacterial identification on isolate-level, empiric-treatment-level, and antibiotic-resistance-level tasks. The clinical bacterial identification task requires significantly fewer patient samples to achieve similar accuracy. Therefore, this method has tremendous potential for the identification of clinical pathogenic bacteria, antibiotic susceptibility testing, and prescription guidance."
