,URL
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20deep%20learning&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20neural%20network&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20embedding&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20interpretable&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20autoencoders&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20CNN&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20convolutional&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20LSTM&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20long%20short-term%20memory&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20NLP&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20Natural%20Language%20Processing&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
11,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20transformer&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
12,https://ieeexplore.ieee.org/search/searchresult.jsp?queryText=antibiotic%20resistance%20BERT&highlight=true&returnType=SEARCH&matchPubs=true&ranges=2023_2024_Year&returnFacets=ALL&refinements=ContentType:Journals&pageNumber=1
